,id_user,screename_user,name_user,user_description,verified_account,user_followers_count,user_friends_count,user_favourites_count,user_statuses_count,account_date_creation,user_geo_enabled,user_location,tweet_geo,tweet_coordinates,tweet_place,tweet_contributors,tweet_id,tweet_url,tweet_text,tweet_date_creation,tweet_retweet_count,tweet_hashtags,tweet_mentions,tweet_reply_to_user_name,tweet_reply_to_user_id,tweet_reply_to_tweet_id,retweet_status,tweet_lang
0,1028118905246478337,roadsterview,Roadsterview,,False,30,882,300,98,2018-08-11 03:20:23,False,,,,,,1105190943144202243,https://www.youtube.com/watch?v=UKaagehUcks&feature=youtu.be,https://t.co/KZ4iiFN60I New Mahindra Centuro Disc Brake - Blue color– New Mahindra Centuro Disc Brake - Blue color https://t.co/StstwTyXaE,2019-03-11 19:37:08,0,,,,,,False,ro
1,2530173168,34sad_com,34sad.com,,False,77,1,0,236304,2014-05-28 14:50:56,False,,,,,,1105190560141172737,http://34sad.com/video/video-test-mahindra-xuv300/,VIDEO: Test Mahindra XUV300 https://t.co/4JjITLK6vc,2019-03-11 19:35:37,0,,,,,,False,et
2,2468158177,OCALATRACTOR,OCALA TRACTOR 352-732-8585,"NEW HOLLAND, MAHINDRA, BOBCAT,  GRAVELY, WOODS, RHINO, KRONE, KUHN,TYM,EXMARK AND MORE DEALER.",False,183,412,715,1600,2014-04-28 18:58:56,True,"5841 N HWY. 441  OCALA, FL.",,,,,1105188998652354561,https://www.ocalatractor.com/default.asp?page=xInventoryDetail&id=6821841#.XIa3FC9nanI.twitter,2019 Mahindra 6075 Power Shuttle https://t.co/t1e09674bs,2019-03-11 19:29:25,0,,,,,,False,tl
3,2468158177,OCALATRACTOR,OCALA TRACTOR 352-732-8585,"NEW HOLLAND, MAHINDRA, BOBCAT,  GRAVELY, WOODS, RHINO, KRONE, KUHN,TYM,EXMARK AND MORE DEALER.",False,183,412,715,1600,2014-04-28 18:58:56,True,"5841 N HWY. 441  OCALA, FL.",,,,,1105188862027091968,https://www.ocalatractor.com/default.asp?page=xInventoryDetail&id=6821804#.XIa288Swk-c.twitter,2019 Mahindra 4540 4WD https://t.co/q8S0l42kwf,2019-03-11 19:28:52,0,,,,,,False,tl
4,2468158177,OCALATRACTOR,OCALA TRACTOR 352-732-8585,"NEW HOLLAND, MAHINDRA, BOBCAT,  GRAVELY, WOODS, RHINO, KRONE, KUHN,TYM,EXMARK AND MORE DEALER.",False,183,412,715,1600,2014-04-28 18:58:56,True,"5841 N HWY. 441  OCALA, FL.",,,,,1105188610750537729,https://www.ocalatractor.com/default.asp?page=xInventoryDetail&id=6821707#.XIa2t1e1bZk.twitter,2019 Mahindra 1626 HST https://t.co/DQDK5EbGHZ,2019-03-11 19:27:52,0,,,,,,False,tl
5,2468158177,OCALATRACTOR,OCALA TRACTOR 352-732-8585,"NEW HOLLAND, MAHINDRA, BOBCAT,  GRAVELY, WOODS, RHINO, KRONE, KUHN,TYM,EXMARK AND MORE DEALER.",False,183,412,715,1600,2014-04-28 18:58:56,True,"5841 N HWY. 441  OCALA, FL.",,,,,1105188482773909504,https://www.ocalatractor.com/default.asp?page=xInventoryDetail&id=6821689#.XIa2mPL_qeI.twitter,2019 Mahindra 2655 HST OS https://t.co/5VPMEkFcCb,2019-03-11 19:27:22,0,,,,,,False,tl
6,294129571,alnesh,alnesh somji,,False,160,295,249,361,2011-05-06 15:42:17,False,"Pune, India",,,,,1105187146674114561,https://twitter.com/i/web/status/1105187146674114561,@anandmahindra Sir requesting you to put me in touch with the best person whom we can speak to for opening the deal… https://t.co/bnLaoIj3WD,2019-03-11 19:22:03,0,,anandmahindra,anandmahindra,34197952.0,,False,en
7,2520991561,ParasDhawan,Paras Dhawan,,False,60,47,448,1121,2014-05-24 17:40:08,True,India,,,,,1105185474698633216,https://twitter.com/i/web/status/1105185474698633216,"@anandmahindra @clubmahindra @AskClubMahindra Mr.Mahindra u r cheating in the name of distributing 2N/3D coupons, C… https://t.co/VY6xC12ZQh",2019-03-11 19:15:25,0,,anandmahindra;clubmahindra;AskClubMahindra,anandmahindra,34197952.0,,False,en
8,759717972264882177,SuhaasGrover,Suhaas Grover,Hi,False,3,32,7,9,2016-07-31 11:50:54,False,Chandigarh,,,,,1105185187955134464,https://twitter.com/i/web/status/1105185187955134464,@anandmahindra your automobile partner Speed Link Mahindra Panchkula Haryana making fool of customers with fake pro… https://t.co/uYDTIe6hr5,2019-03-11 19:14:16,0,,anandmahindra,anandmahindra,34197952.0,,False,en
9,1105143792133386241,SatishS97920405,Satish Shah,,False,0,1,0,1,2019-03-11 16:29:47,False,,,,,,1105185131466248194,,@Nifty11171Mode Tech mahindra view,2019-03-11 19:14:03,0,,Nifty11171Mode,Nifty11171Mode,81524409.0,1.1050169403916206e+18,False,tl
10,306742374,NonofoM,Nonofo L. Mmualefhe,"A God fearing man who's ever smiling😊 The goal chaser, AMBITIOUS 😊 House Addict🎶  Aspiring Interior Architect 🔶Rolling Stars FC player ⚽✌ Division 1 league",False,2422,2028,5179,38346,2011-05-28 11:10:08,True,"Gaborone, Botswana",,,,,1105183346194333696,,RT @motlhom: Kana re kile ra batla go patelediwa Tata le Mahindra ke batho. Kana di heletse kae?,2019-03-11 19:06:57,10,,motlhom,,,,False,tl
11,1105178672120586243,AmitSax89032614,Amit Saxena,completely honest,False,0,4,0,1,2019-03-11 18:48:23,False,,,,,,1105183186206642176,,@anandmahindra Sir plz placed some honest man in MP Mahindra Finance office. MR. Ravindra Pandey (DM) Indore.tottaly currupt.,2019-03-11 19:06:19,0,,anandmahindra,anandmahindra,34197952.0,,False,en
12,1572579055,ASHOKPBJP,नमो समर्थक अशोक पाण्डेय,"मीडिया प्रभारी,भाजपा दक्षिणी दिल्ली,। सदस्य, केन्द्रीय आईटी टीम भाजपा",False,4039,3791,69837,78653,2013-07-06 11:15:19,True,"राष्ट्रीय राजधानी,नई दिल्ली",,,,,1105182578015981574,,RT @MahindraRise: The world’s hardest workers help us build a greener tomorrow. Watch this unique film made of recycled waste paper to lear…,2019-03-11 19:03:54,572,,MahindraRise,,,,False,en
13,749465841368834048,IndianNews__,Indian News,https://t.co/U6Iom0O4Il  creates something special for everyone. #Indiabiz #indianews #indiamarket,False,1175,7,1614,87644,2016-07-03 04:52:35,False,India,,,,,1105182023260491776,http://bit.ly/2NWN1h7,"#India #Indiabiz With global brands, all the world’s a stage for Mahindra https://t.co/kw5Lg5nLwo",2019-03-11 19:01:42,0,India;Indiabiz,,,,,False,en
14,1000431737904685056,Envi46439543,Envi,,False,23,434,1257,3481,2018-05-26 17:41:28,False,,,,,,1105181842611699713,,RT @clubmahindra: #DidYouKnow that there's a place from where you can get a bird's eye view of Mussoorie? It's called the 'Laal Tibba' or t…,2019-03-11 19:00:59,36,DidYouKnow,clubmahindra,,,,False,en
15,3318510966,CrweWorld,Crwe World,,False,626,2173,16,361306,2015-08-18 10:21:05,False,"Las Vegas, NV",,,,,1105181662189543424,http://crweworld.com/india/trendingnow/news/1010826/2019-formula-e-mahindra-racing-faces-a-tough-weekend-at-hong-kong-e-prix,2019 Formula E: Mahindra Racing faces a tough weekend at Hong Kong E-Prix https://t.co/AwfNt6ySIh,2019-03-11 19:00:16,0,,,,,,False,en
16,1028118905246478337,roadsterview,Roadsterview,,False,30,882,300,98,2018-08-11 03:20:23,False,,,,,,1105181242201436161,https://www.youtube.com/watch?v=IAiuChMUFSw&feature=youtu.be,"https://t.co/DEYFz6SBHr Mahindra Arro 110 XT 2018  Specification,Price &amp; Review– Mahindra Arro 110 XT 2018  Specifi… https://t.co/LdsnK0LDoO",2019-03-11 18:58:36,0,,,,,,False,tl
17,895165308595560453,Neha_Means,Neha Aswani,Homemade Baker - Love to Bake CAKES🎂🍰,False,28,7,3127,293,2017-08-09 06:10:15,False,"Hyderabad, India",,,,,1105180676247117826,,RT @Deepaswa82: Fraud by Mahindra #clubmahindra https://t.co/PSTHrDZNFT,2019-03-11 18:56:21,2,clubmahindra,Deepaswa82,,,,False,et
